row	column	marker	cell_line
5	17		
6	17		
7	17		
8	17		
9	17		
10	17		
11	17		
12	17		
13	17		
14	17		
15	17		
16	17		
1	18		
2	18	GRP94	HGPS5_HGADFN178
3	18	GRP94	HGPS5_HGADFN178
4	18	GRP94	HGPS5_HGADFN178
5	18	GRP78	HGPS5_HGADFN178
6	18	GRP78	HGPS5_HGADFN178
7	18	GRP78	HGPS5_HGADFN178
8	18	PDI	HGPS5_HGADFN178
9	18	PDI	HGPS5_HGADFN178
10	18	PDI	HGPS5_HGADFN178
11	18		
12	18		
13	18		
14	18		
15	18		
16	18		
1	19		
2	19		
3	19		
4	19		
5	19		
6	19		
7	19		
8	19		
9	19		
10	19		
11	19		
12	19		
13	19		
14	19		
15	19		
16	19		
1	20		
2	20		
3	20		
4	20		
5	20		
6	20		
7	20		
8	20		
9	20		
10	20		
11	20		
12	20		
13	20		
14	20		
15	20		
16	20		
1	21		
2	21		
3	21		
4	21		
5	21		
6	21		
7	21		
8	21		
9	21		
10	21		
11	21		
12	21		
13	21		
14	21		
15	21		
16	21		
1	22		
2	22		
3	22		
4	22		
5	22		
6	22		
7	22		
8	22		
9	22		
10	22		
11	22		
12	22		
13	22		
14	22		
15	22		
16	22		
1	23		
2	23		
3	23		
4	23		
5	23		
6	23		
7	23		
8	23		
9	23		
10	23		
11	23		
12	23		
13	23		
14	23		
15	23		
16	23		
1	24		
2	24		
3	24		
4	24		
5	24		
6	24		
7	24		
8	24		
9	24		
10	24		
11	24		
12	24		
13	24		
14	24		
15	24		
16	24		
